irb> index.linear_search([10000])
linear_search_from_cursor: page=25, level=0, current=(9892)
linear_search_from_cursor: page=25, level=0, current=(9893)
linear_search_from_cursor: page=25, level=0, current=(9894)
linear_search_from_cursor: page=25, level=0, current=(9895)
linear_search_from_cursor: page=25, level=0, current=(9896)
linear_search_from_cursor: page=25, level=0, current=(9897)
linear_search_from_cursor: page=25, level=0, current=(9898)
linear_search_from_cursor: page=25, level=0, current=(9899)
linear_search_from_cursor: page=25, level=0, current=(9900)
linear_search_from_cursor: page=25, level=0, current=(9901)
linear_search_from_cursor: page=25, level=0, current=(9902)
linear_search_from_cursor: page=25, level=0, current=(9903)
linear_search_from_cursor: page=25, level=0, current=(9904)
linear_search_from_cursor: page=25, level=0, current=(9905)
linear_search_from_cursor: page=25, level=0, current=(9906)
linear_search_from_cursor: page=25, level=0, current=(9907)
linear_search_from_cursor: page=25, level=0, current=(9908)
linear_search_from_cursor: page=25, level=0, current=(9909)
linear_search_from_cursor: page=25, level=0, current=(9910)
linear_search_from_cursor: page=25, level=0, current=(9911)
linear_search_from_cursor: page=25, level=0, current=(9912)
linear_search_from_cursor: page=25, level=0, current=(9913)
linear_search_from_cursor: page=25, level=0, current=(9914)
linear_search_from_cursor: page=25, level=0, current=(9915)
linear_search_from_cursor: page=25, level=0, current=(9916)
linear_search_from_cursor: page=25, level=0, current=(9917)
linear_search_from_cursor: page=25, level=0, current=(9918)
linear_search_from_cursor: page=25, level=0, current=(9919)
linear_search_from_cursor: page=25, level=0, current=(9920)
linear_search_from_cursor: page=25, level=0, current=(9921)
linear_search_from_cursor: page=25, level=0, current=(9922)
linear_search_from_cursor: page=25, level=0, current=(9923)
linear_search_from_cursor: page=25, level=0, current=(9924)
linear_search_from_cursor: page=25, level=0, current=(9925)
linear_search_from_cursor: page=25, level=0, current=(9926)
linear_search_from_cursor: page=25, level=0, current=(9927)
linear_search_from_cursor: page=25, level=0, current=(9928)
linear_search_from_cursor: page=25, level=0, current=(9929)
linear_search_from_cursor: page=25, level=0, current=(9930)
linear_search_from_cursor: page=25, level=0, current=(9931)
linear_search_from_cursor: page=25, level=0, current=(9932)
linear_search_from_cursor: page=25, level=0, current=(9933)
linear_search_from_cursor: page=25, level=0, current=(9934)
linear_search_from_cursor: page=25, level=0, current=(9935)
linear_search_from_cursor: page=25, level=0, current=(9936)
linear_search_from_cursor: page=25, level=0, current=(9937)
linear_search_from_cursor: page=25, level=0, current=(9938)
linear_search_from_cursor: page=25, level=0, current=(9939)
linear_search_from_cursor: page=25, level=0, current=(9940)
linear_search_from_cursor: page=25, level=0, current=(9941)
linear_search_from_cursor: page=25, level=0, current=(9942)
linear_search_from_cursor: page=25, level=0, current=(9943)
linear_search_from_cursor: page=25, level=0, current=(9944)
linear_search_from_cursor: page=25, level=0, current=(9945)
linear_search_from_cursor: page=25, level=0, current=(9946)
linear_search_from_cursor: page=25, level=0, current=(9947)
linear_search_from_cursor: page=25, level=0, current=(9948)
linear_search_from_cursor: page=25, level=0, current=(9949)
linear_search_from_cursor: page=25, level=0, current=(9950)
linear_search_from_cursor: page=25, level=0, current=(9951)
linear_search_from_cursor: page=25, level=0, current=(9952)
linear_search_from_cursor: page=25, level=0, current=(9953)
linear_search_from_cursor: page=25, level=0, current=(9954)
linear_search_from_cursor: page=25, level=0, current=(9955)
linear_search_from_cursor: page=25, level=0, current=(9956)
linear_search_from_cursor: page=25, level=0, current=(9957)
linear_search_from_cursor: page=25, level=0, current=(9958)
linear_search_from_cursor: page=25, level=0, current=(9959)
linear_search_from_cursor: page=25, level=0, current=(9960)
linear_search_from_cursor: page=25, level=0, current=(9961)
linear_search_from_cursor: page=25, level=0, current=(9962)
linear_search_from_cursor: page=25, level=0, current=(9963)
linear_search_from_cursor: page=25, level=0, current=(9964)
linear_search_from_cursor: page=25, level=0, current=(9965)
linear_search_from_cursor: page=25, level=0, current=(9966)
linear_search_from_cursor: page=25, level=0, current=(9967)
linear_search_from_cursor: page=25, level=0, current=(9968)
linear_search_from_cursor: page=25, level=0, current=(9969)
linear_search_from_cursor: page=25, level=0, current=(9970)
linear_search_from_cursor: page=25, level=0, current=(9971)
linear_search_from_cursor: page=25, level=0, current=(9972)
linear_search_from_cursor: page=25, level=0, current=(9973)
linear_search_from_cursor: page=25, level=0, current=(9974)
linear_search_from_cursor: page=25, level=0, current=(9975)
linear_search_from_cursor: page=25, level=0, current=(9976)
linear_search_from_cursor: page=25, level=0, current=(9977)
linear_search_from_cursor: page=25, level=0, current=(9978)
linear_search_from_cursor: page=25, level=0, current=(9979)
linear_search_from_cursor: page=25, level=0, current=(9980)
linear_search_from_cursor: page=25, level=0, current=(9981)
linear_search_from_cursor: page=25, level=0, current=(9982)
linear_search_from_cursor: page=25, level=0, current=(9983)
linear_search_from_cursor: page=25, level=0, current=(9984)
linear_search_from_cursor: page=25, level=0, current=(9985)
linear_search_from_cursor: page=25, level=0, current=(9986)
linear_search_from_cursor: page=25, level=0, current=(9987)
linear_search_from_cursor: page=25, level=0, current=(9988)
linear_search_from_cursor: page=25, level=0, current=(9989)
linear_search_from_cursor: page=25, level=0, current=(9990)
linear_search_from_cursor: page=25, level=0, current=(9991)
linear_search_from_cursor: page=25, level=0, current=(9992)
linear_search_from_cursor: page=25, level=0, current=(9993)
linear_search_from_cursor: page=25, level=0, current=(9994)
linear_search_from_cursor: page=25, level=0, current=(9995)
linear_search_from_cursor: page=25, level=0, current=(9996)
linear_search_from_cursor: page=25, level=0, current=(9997)
linear_search_from_cursor: page=25, level=0, current=(9998)
linear_search_from_cursor: page=25, level=0, current=(9999)
linear_search_from_cursor: page=25, level=0, current=(10000)
